iter	Passed	Remaining
194	5009	46367
195	5034	46336
196	5061	46327
197	5085	46286
198	5111	46261
199	5138	46243
200	5163	46214
201	5189	46188
202	5214	46163
203	5238	46117
204	5262	46079
205	5287	46045
206	5312	46015
207	5334	45961
208	5361	45943
209	5386	45915
210	5411	45882
211	5437	45859
212	5466	45858
213	5491	45828
214	5517	45804
215	5543	45786
216	5569	45758
217	5596	45744
218	5621	45715
219	5649	45709
220	5675	45686
221	5699	45644
222	5722	45598
223	5748	45578
224	5774	45556
225	5798	45517
226	5823	45484
227	5849	45463
228	5874	45431
229	5900	45410
230	5925	45375
231	5948	45329
232	5974	45306
233	5999	45281
234	6024	45246
235	6047	45203
236	6072	45175
237	6098	45146
238	6122	45110
239	6145	45063
240	6169	45030
241	6195	45004
242	6220	44978
243	6243	44936
244	6271	44926
245	6296	44896
246	6322	44869
247	6346	44833
248	6370	44799
249	6395	44770
250	6419	44733
251	6444	44700
252	6468	44666
253	6493	44633
254	6518	44607
255	6544	44584
256	6569	44556
257	6595	44531
258	6621	44509
259	6645	44476
260	6669	44439
261	6694	44409
262	6718	44371
263	6741	44328
264	6768	44316
265	6791	44274
266	6815	44239
267	6843	44226
268	6868	44199
269	6895	44185
270	6933	44233
271	6963	44240
272	6988	44207
273	7013	44182
274	7036	44138
275	7060	44105
276	7086	44077
277	7109	44036
278	7133	44002
279	7157	43970
280	7183	43944
281	7208	43917
282	7233	43887
283	7260	43868
284	7284	43836
285	7312	43824
286	7334	43777
287	7360	43753
288	7387	43738
289	7411	43700
290	7434	43662
291	7459	43633
292	7483	43599
293	7508	43571
294	7534	43548
295	7559	43520
296	7585	43494
297	7610	43468
298	7638	43456
299	7665	43435
300	7689	43406
301	7716	43383
302	7740	43354
303	7768	43337
304	7795	43321
305	7820	43291
306	7845	43266
307	7871	43241
308	7898	43222
309	7924	43198
310	7950	43176
311	7973	43140
312	7998	43111
313	8022	43078
314	8048	43051
315	8073	43025
316	8099	43003
317	8125	42978
318	8152	42960
319	8176	42928
320	8198	42884
321	8223	42853
322	8250	42837
323	8274	42801
324	8301	42785
325	8326	42755
326	8350	42724
327	8376	42701
328	8406	42698
329	8432	42674
330	8459	42654
331	8486	42635
332	8508	42592
333	8533	42566
334	8557	42533
335	8584	42512
336	8609	42484
337	8631	42443
338	8656	42412
339	8681	42387
340	8707	42362
341	8731	42329
342	8755	42299
343	8782	42277
344	8809	42260
345	8836	42241
346	8861	42212
347	8883	42172
348	8908	42144
349	8931	42105
350	8956	42079
351	8984	42063
352	9012	42047
353	9034	42008
354	9060	41983
355	9086	41959
356	9110	41927
357	9136	41904
358	9161	41876
359	9186	41851
360	9211	41820
361	9234	41784
362	9257	41746
363	9281	41717
364	9306	41688
365	9331	41659
366	9356	41634
367	9383	41613
368	9409	41592
369	9434	41562
370	9457	41525
371	9481	41495
372	9504	41455
373	9531	41440
374	9557	41414
375	9583	41393
376	9609	41367
377	9635	41344
378	9661	41324
379	9689	41306
380	9713	41277
381	9738	41249
382	9765	41228
383	9790	41200
384	9814	41169
385	9842	41153
386	9868	41130
387	9893	41105
388	9919	41080
389	9943	41048
390	9965	41009
391	9991	40987
392	10015	40954
393	10039	40922
394	10064	40894
395	10088	40864
396	10113	40837
397	10137	40804
398	10162	40779
399	10189	40757
400	10214	40729
401	10239	40703
402	10263	40671
403	10289	40649
404	10314	40621
405	10338	40588
406	10364	40567
407	10390	40541
408	10414	40513
409	10438	40481
410	10462	40451
411	10484	40411
412	10507	40376
413	10532	40349
414	10558	40324
415	10587	40314
416	10612	40288
417	10639	40266
418	10667	40252
419	10693	40227
420	10721	40213
421	10745	40180
422	10774	40167
423	10797	40135
424	10824	40113
425	10847	40079
426	10873	40054
427	10897	40024
428	10923	40002
429	10949	39976
430	10976	39957
431	11001	39929
432	11025	39900
433	11049	39868
434	11075	39844
435	11099	39816
436	11124	39789
437	11151	39767
438	11176	39742
439	11202	39719
440	11227	39692
441	11251	39661
442	11277	39636
443	11301	39605
444	11326	39579
445	11350	39548
446	11376	39524
447	11403	39504
448	11428	39476
449	11453	39449
450	11479	39428
451	11506	39407
452	11535	39394
453	11562	39373
454	11588	39349
455	11613	39321
456	11638	39296
457	11666	39278
458	11692	39254
459	11715	39222
460	11738	39187
461	11763	39161
462	11787	39131
463	11813	39106
464	11838	39079
465	11864	39056
466	11889	39028
467	11912	38996
468	11937	38967
469	11960	38935
470	11984	38904
471	12008	38876
472	12035	38853
473	12063	38836
474	12085	38800
475	12110	38772
476	12136	38749
477	12163	38728
478	12188	38704
479	12214	38680
480	12239	38653
481	12267	38636
482	12293	38611
483	12317	38581
484	12342	38553
485	12366	38524
486	12391	38497
487	12416	38472
488	12443	38449
489	12467	38421
490	12494	38399
491	12519	38371
492	12543	38342
493	12568	38316
494	12595	38294
495	12620	38269
496	12643	38236
497	12669	38211
498	12693	38182
499	12734	38202
500	12759	38177
501	12788	38160
502	12812	38132
503	12841	38116
504	12865	38087
505	12892	38064
506	12916	38036
507	12943	38013
508	12966	37983
509	12995	37967
510	13021	37942
511	13047	37919
512	13069	37882
513	13091	37847
514	13115	37819
515	13139	37788
516	13163	37759
517	13187	37730
518	13211	37698
519	13236	37673
520	13261	37645
521	13285	37617
522	13311	37594
523	13337	37568
524	13361	37539
525	13388	37517
526	13415	37497
527	13439	37467
528	13463	37437
529	13486	37405
530	13511	37380
531	13535	37350
532	13560	37324
533	13583	37292
534	13609	37268
535	13635	37244
536	13662	37222
537	13686	37194
538	13712	37169
539	13735	37137
540	13763	37118
541	13793	37104
542	13819	37080
543	13845	37056
544	13871	37033
545	13896	37007
546	13923	36983
547	13945	36950
548	13969	36920
549	13993	36892
550	14021	36872
551	14045	36844
552	14068	36811
553	14093	36786
554	14117	36755
555	14142	36730
556	14169	36708
557	14196	36687
558	14222	36663
559	14249	36640
560	14275	36618
561	14299	36589
562	14322	36557
563	14350	36539
564	14375	36510
565	14400	36485
566	14425	36457
567	14453	36437
568	14480	36416
569	14505	36390
570	14529	36362
571	14554	36336
572	14580	36310
573	14607	36289
574	14632	36262
575	14658	36238
576	14683	36212
577	14709	36187
578	14733	36158
579	14755	36125
580	14782	36104
581	14806	36074
582	14832	36049
583	14857	36024
584	14882	35997
585	14906	35968
586	14933	35946
587	14963	35932
588	14990	35910
589	15016	35887
590	15039	35854
591	15064	35828
592	15091	35807
593	15116	35780
594	15142	35755
595	15167	35730
596	15192	35704
597	15218	35678
598	15243	35652
599	15268	35626
600	15294	35602
601	15320	35578
602	15345	35551
603	15369	35522
604	15391	35490
605	15416	35464
606	15440	35434
607	15465	35408
608	15492	35385
609	15518	35362
610	15545	35339
611	15570	35312
612	15595	35287
613	15620	35261
614	15645	35234
615	15671	35209
616	15695	35181
617	15720	35155
618	15747	35133
619	15775	35112
620	15802	35090
621	15828	35066
622	15855	35044
623	15880	35018
624	15904	34990
625	15929	34962
626	15953	34933
627	15976	34904
628	16001	34877
629	16026	34850
630	16052	34826
631	16078	34803
632	16102	34775
633	16128	34751
634	16154	34725
635	16181	34703
636	16206	34677
637	16231	34650
638	16259	34630
639	16282	34601
640	16307	34574
641	16336	34555
642	16361	34528
643	16384	34498
644	16408	34470
645	16430	34437
646	16455	34411
647	16483	34391
648	16508	34365
649	16531	34333
650	16556	34308
651	16580	34279
652	16609	34262
653	16636	34238
654	16661	34213
655	16687	34189
656	16713	34164
657	16740	34142
658	16766	34118
659	16791	34092
660	16817	34066
661	16844	34045
662	16866	34012
663	16889	33983
664	16916	33960
665	16940	33931
666	16964	33902
667	16992	33882
668	17016	33855
669	17040	33826
670	17066	33801
671	17091	33775
672	17118	33754
673	17145	33732
674	17171	33707
675	17199	33686
676	17227	33665
677	17252	33639
678	17275	33608
679	17298	33580
680	17325	33556
681	17347	33525
682	17373	33500
683	17402	33481
684	17423	33448
685	17446	33418
686	17471	33391
687	17496	33366
688	17523	33343
689	17549	33319
690	17574	33293
691	17602	33272
692	17628	33246
693	17653	33221
694	17678	33195
695	17707	33176
696	17732	33149
697	17758	33125
698	17783	33099
699	17808	33072
700	17835	33049
701	17858	33021
702	17884	32995
703	17908	32968
704	17932	32940
705	17957	32912
706	17981	32886
707	18007	32860
708	18029	32829
709	18055	32804
710	18079	32777
711	18103	32749
712	18126	32719
713	18150	32691
714	18176	32667
715	18199	32636
716	18223	32609
717	18248	32582
718	18273	32557
719	18298	32530
720	18322	32502
721	18345	32473
722	18371	32448
723	18397	32424
724	18422	32398
725	18447	32372
726	18469	32340
727	18495	32316
728	18518	32287
729	18542	32258
730	18565	32229
731	18594	32209
732	18618	32182
733	18645	32159
734	18670	32134
735	18698	32112
736	18725	32090
737	18753	32068
738	18777	32041
739	18801	32013
740	18824	31983
741	18850	31960
742	18876	31935
743	18899	31905
744	18923	31878
745	18949	31854
746	18975	31829
747	19001	31804
748	19023	31774
749	19048	31748
750	19072	31719
751	19097	31694
752	19122	31667
753	19144	31636
754	19167	31607
755	19191	31580
756	19216	31553
757	19239	31523
758	19263	31495
759	19287	31468
760	19313	31444
761	19341	31423
762	19366	31397
763	19395	31377
764	19421	31353
765	19443	31323
766	19469	31299
767	19496	31275
768	19522	31250
769	19547	31225
770	19573	31201
771	19599	31176
772	19625	31151
773	19649	31123
774	19677	31102
775	19701	31076
776	19727	31050
777	19750	31022
778	19775	30995
779	19801	30971
780	19826	30944
781	19849	30916
782	19875	30891
783	19899	30864
784	19923	30837
785	19951	30815
786	19973	30785
787	19995	30755
788	20019	30726
789	20045	30701
790	20070	30677
791	20096	30652
792	20123	30629
793	20148	30603
794	20173	30578
795	20201	30556
796	20226	30530
797	20252	30505
798	20276	30478
799	20300	30450
800	20326	30425
801	20352	30402
802	20381	30381
803	20408	30358
804	20430	30328
805	20455	30302
806	20479	30275
807	20503	30248
808	20529	30223
809	20555	30198
810	20581	30174
811	20604	30145
812	20626	30115
813	20649	30087
814	20676	30063
815	20702	30039
816	20728	30013
817	20750	29983
818	20773	29954
819	20797	29928
820	20824	29904
821	20851	29881
822	20876	29855
823	20901	29830
824	20925	29803
825	20947	29773
826	20970	29744
827	20995	29718
828	21022	29695
829	21048	29670
830	21073	29645
831	21099	29620
832	21122	29592
833	21146	29564
834	21171	29538
835	21197	29513
836	21221	29486
837	21245	29459
838	21272	29436
839	21295	29408
840	21320	29381
841	21342	29351
842	21367	29326
843	21392	29300
844	21415	29272
845	21441	29247
846	21467	29223
847	21489	29193
848	21516	29169
849	21542	29145
850	21570	29124
851	21599	29102
852	21624	29077
853	21651	29054
854	21678	29031
855	21703	29005
856	21728	28980
857	21753	28953
858	21778	28928
859	21803	28901
860	21827	28874
861	21850	28847
862	21876	28822
863	21899	28793
864	21923	28766
865	21946	28737
866	21971	28712
867	21996	28686
868	22022	28662
869	22050	28640
870	22075	28614
871	22101	28589
872	22126	28563
873	22150	28536
874	22176	28512
875	22198	28483
876	22226	28461
877	22251	28435
878	22277	28410
879	22302	28385
880	22326	28357
881	22352	28333
882	22376	28306
883	22398	28277
884	22423	28251
885	22449	28226
886	22472	28198
887	22499	28175
888	22523	28147
889	22548	28122
890	22571	28093
891	22595	28067
892	22618	28039
893	22645	28015
894	22671	27990
895	22696	27964
896	22721	27939
897	22746	27914
898	22773	27891
899	22796	27862
900	22821	27836
901	22847	27812
902	22875	27789
903	22897	27760
904	22922	27735
905	22949	27712
906	22975	27687
907	22999	27660
908	23025	27636
909	23051	27611
910	23075	27583
911	23101	27559
912	23126	27533
913	23152	27509
914	23178	27484
915	23201	27457
916	23228	27433
917	23252	27406
918	23275	27378
919	23297	27349
920	23319	27319
921	23342	27292
922	23365	27264
923	23388	27235
924	23412	27209
925	23439	27185
926	23462	27157
927	23486	27130
928	23510	27104
929	23535	27078
930	23561	27054
931	23589	27031
932	23616	27007
933	23639	26979
934	23664	26954
935	23690	26930
936	23716	26905
937	23742	26881
938	23770	26859
939	23799	26837
940	23822	26809
941	23846	26782
942	23872	26758
943	23897	26733
944	23925	26710
945	23952	26686
946	23979	26663
947	24005	26638
948	24028	26611
949	24052	26584
950	24077	26558
951	24098	26529
952	24124	26503
953	24151	26480
954	24176	26454
955	24201	26429
956	24224	26401
957	24262	26389
958	24293	26370
959	24320	26347
960	24343	26319
961	24370	26295
962	24392	26267
963	24416	26240
964	24441	26214
965	24464	26186
966	24488	26160
967	24514	26134
968	24540	26110
969	24566	26085
970	24592	26061
971	24619	26037
972	24642	26010
973	24668	25985
974	24692	25958
975	24717	25932
976	24740	25905
977	24768	25882
978	24793	25856
979	24816	25829
980	24838	25800
981	24861	25772
982	24885	25745
983	24907	25717
984	24934	25693
985	24959	25668
986	24985	25643
987	25009	25617
988	25034	25591
989	25057	25563
990	25082	25537
991	25106	25511
992	25130	25484
993	25157	25460
994	25179	25432
995	25205	25407
996	25233	25385
997	25258	25360
998	25285	25336
999	25311	25311
1000	25337	25286
1001	25362	25260
1002	25388	25236
1003	25415	25212
1004	25440	25187
1005	25462	25158
1006	25486	25132
1007	25512	25107
1008	25535	25080
1009	25562	25056
1010	25586	25029
1011	25611	25004
1012	25635	24977
1013	25660	24952
1014	25686	24927
1015	25709	24899
1016	25734	24874
1017	25760	24849
1018	25786	24824
1019	25810	24797
1020	25835	24773
1021	25858	24745
1022	25887	24723
1023	25914	24699
1024	25938	24673
1025	25966	24650
1026	25992	24625
1027	26016	24599
1028	26041	24574
1029	26069	24550
1030	26094	24525
1031	26118	24498
1032	26145	24475
1033	26168	24447
1034	26192	24421
1035	26218	24395
1036	26242	24369
1037	26266	24342
1038	26288	24314
1039	26312	24288
1040	26340	24265
1041	26364	24238
1042	26388	24212
1043	26411	24185
1044	26434	24157
1045	26460	24133
1046	26485	24107
1047	26506	24078
1048	26532	24053
1049	26558	24028
1050	26583	24003
1051	26605	23975
1052	26630	23949
1053	26652	23921
1054	26677	23895
1055	26702	23870
1056	26727	23845
1057	26756	23823
1058	26782	23798
1059	26806	23771
1060	26833	23747
1061	26858	23722
1062	26883	23696
1063	26905	23668
1064	26928	23641
1065	26955	23617
1066	26980	23592
1067	27005	23566
1068	27029	23540
1069	27054	23515
1070	27080	23489
1071	27102	23461
1072	27128	23437
1073	27153	23411
1074	27178	23385
