iter	Logloss
0	0.6106920291
1	0.5466916231
2	0.4979568799
3	0.4607320003
4	0.434246964
5	0.4126543119
6	0.3948569392
7	0.3806695803
8	0.3700575383
9	0.3616589904
10	0.3543506573
11	0.3484842808
12	0.343130405
13	0.3387703771
14	0.3347037568
15	0.331370869
16	0.3287842991
17	0.3263927482
18	0.3244400636
19	0.3226813783
20	0.3211882217
21	0.3199010337
22	0.3187552077
23	0.317779044
24	0.3168361397
25	0.3159688609
26	0.3152892887
27	0.3145143121
28	0.3138812445
29	0.3135330619
30	0.3129997388
31	0.3122222372
32	0.311774442
33	0.3114078083
34	0.3109631882
35	0.3106466828
36	0.310288514
37	0.3100542459
38	0.3097684443
39	0.3095326964
40	0.309317199
41	0.3091244128
42	0.3088556938
43	0.3086452078
44	0.3084576225
45	0.3082607491
46	0.3079147902
47	0.3075839692
48	0.3074332275
49	0.307313325
50	0.3070424611
51	0.3069168015
52	0.30668388
53	0.3065844905
54	0.3064978862
55	0.3063862503
56	0.3062870242
57	0.3060872075
58	0.3059022255
59	0.3058031905
60	0.305689717
61	0.3056053279
62	0.3055214709
63	0.3054182093
64	0.3052660962
65	0.3051863383
66	0.3051226755
67	0.3050518578
68	0.3049937565
69	0.3049312447
70	0.3048450954
71	0.3047104665
72	0.3046672978
73	0.3045782171
74	0.3045134081
75	0.3044705514
76	0.3044049914
77	0.3043604957
78	0.3043081794
79	0.3042529024
80	0.3041763036
81	0.3041232792
82	0.3040702271
83	0.3039959731
84	0.3039190614
85	0.3038856774
86	0.3038351386
87	0.3037924978
88	0.3037544056
89	0.3036830099
90	0.303628184
91	0.3035800849
92	0.3035446632
93	0.3035045955
94	0.3034566636
95	0.3034158449
96	0.3033806144
97	0.3033474141
98	0.3033230989
99	0.3032816236
100	0.303248127
101	0.30318196
102	0.303151276
103	0.3031187322
104	0.3030671518
105	0.3030376855
106	0.3030075728
107	0.3029738631
108	0.3029240689
109	0.3029016782
110	0.3028811032
111	0.3028328699
112	0.3028083618
113	0.3027905359
114	0.302765349
115	0.3027430921
116	0.3027152204
117	0.3026904687
118	0.3026625194
119	0.3026254977
120	0.3026040696
121	0.3025779681
122	0.3025237366
123	0.3025046335
124	0.302481329
125	0.3024556846
126	0.3024363673
127	0.3023957477
128	0.3023554401
129	0.3023348429
